created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,dce11d15-49c2-4515-9b5c-f24d484369d7,,ssm,AWS-EnableExplorer,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/association:Association,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/association:Association::dce11d15-49c2-4515-9b5c-f24d484369d7,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-0f1513e167c8d0a9d,,ec2,rtb-0f1513e167c8d0a9d,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/routeTable:RouteTable,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/routeTable:RouteTable::rtb-0f1513e167c8d0a9d,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/470aa97d-937d-5f72-8b82-ae20ea5b8c49,,lambda,470aa97d-937d-5f72-8b82-ae20ea5b8c49,aws,,,sentify_demo,false,,ap-southeast-2,aws:lambda/permission:Permission,urn:insights:sentify_demo/ap-southeast-2::aws::aws:lambda/permission:Permission::arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/470aa97d-937d-5f72-8b82-ae20ea5b8c49,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,key-pair-eks-tabnine-nodes,,ec2,key-pair-eks-tabnine-nodes,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/keyPair:KeyPair,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/keyPair:KeyPair::key-pair-eks-tabnine-nodes,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:secretsmanager:ap-southeast-2:155742740775:secret:JSM-webhook-secret-lS8tNJ,,secretsmanager,JSM-webhook-secret,aws,,,sentify_demo,false,,ap-southeast-2,aws:secretsmanager/secret:Secret,urn:insights:sentify_demo/ap-southeast-2::aws::aws:secretsmanager/secret:Secret::arn:aws:secretsmanager:ap-southeast-2:155742740775:secret:JSM-webhook-secret-lS8tNJ,,,security,sentify_demo/ap-southeast-2,Other
,true,false,true,mutual-poc-truststore,,s3,mutual-poc-truststore,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucketOwnershipControls:BucketOwnershipControls,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucketOwnershipControls:BucketOwnershipControls::mutual-poc-truststore,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/ra0xm2,,apigatewayv2,ra0xm2,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/deployment:Deployment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/deployment:Deployment::1zad76qte6/ra0xm2,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,default.aurora-postgresql10,,rds,default.aurora-postgresql10,aws,,,sentify_demo,false,,ap-southeast-2,aws:rds/clusterParameterGroup:ClusterParameterGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:rds/clusterParameterGroup:ClusterParameterGroup::default.aurora-postgresql10,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/631dnd,,apigatewayv2,631dnd,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/deployment:Deployment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/deployment:Deployment::1zad76qte6/631dnd,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,vpc-0468cbacaa8f8a432,,ec2,dopt-8193a5e6-vpc-0468cbacaa8f8a432,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpcDhcpOptionsAssociation:VpcDhcpOptionsAssociation::vpc-0468cbacaa8f8a432,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,SSM-SessionManagerRunShell,,ssm,SSM-SessionManagerRunShell,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/document:Document,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/document:Document::SSM-SessionManagerRunShell,,,management,sentify_demo/ap-southeast-2,Other
